Px Code,Supply #,Description,Unit Price
272000379,6306,DRL BIT ACL SS QC 2,467.5
272000379,6319,EXTRACTOR CONI FEMALE 5.0MM,1189.5
272000379,6362,DRL BIT ART SS 2.5X110,467.5
272000379,6368,TB IRR GEN MDS,283.2
272000379,6382,DRL BIT SYN SS QC 0.76X10,637.29
272000379,6387,DRL BIT SYN SS QC 1.8X110,656.04
272000379,6422,SUT FBR 4-0 BRD BL 18IN,300
272000379,6434,CLP APR LGM INTNL ENDO 5X13,1388.75
272000379,6443,FCP CGR MNPLR BIP ENTSCP 5X165,972.24
272000379,6449,DRL BIT VRX SS 1.9X105,356.4
272000379,6450,DRL BIT LCP CANN SS QC 4.3X200,1376.8
272000379,6471,DRL BIT SYN SS QC 0.76X12,637.29
272000379,6504,DRL BIT STR SS 3.2X125,551.54
272000379,6518,DRL BIT SS QC 1.8X80,347.58
272000379,6520,DRL BIT SYN SS QC 4.3X180,528.55
272000379,6532,ROD LNG,1894.4
272000379,6545,BLA HELIX 105,1508.35
272000379,6556,DRL BIT SRG SS 5X3.5,402
272000379,6558,DRL BIT ART CANN SS 8,924
272000379,6570,ROD SRT,1520.2
272000379,6608,SCRWDRVR BLA CRUCI  W SLV 1.0,3650.94
272000379,6613,DRL BIT SS 2.5,462.83
272000379,6619,SCRWDRVR BLA CRUCI  W SLV 1.3,3541.23
272000379,6655,DISTRACTOR EXT FIX LRG,305.76
272000379,6658,BLA CMPRS LCP SS NSTR 90,1420.7
272000379,6685,REAMER HOLLOW COMPLETE 1.5,1397.9
272000379,6691,SCRWDVR STRDRV TI5 3.5 X 250,1485.5
272000379,6705,NUT SPINDLE DISTRACTOR MD,279.24
272000379,6709,DRL BIT APX CRBN 2.2X100,483.23
272000379,6722,SHAFT SCRWDVR 3.0,1125
272000379,6753,REAMER HOLLOW COMPLETE 2.7-3.0,1397.9
272000379,6755,BLA CMPRS LCP SS NSTR 75,1420.7
272000379,6756,BLA CMPRS LCP SS NSTR 100,1508.35
272000379,6757,BLA CMPRS LCP SS NSTR 115,1508.35
272000379,6766,BLA CMPRS LCP SS NSTR 85,1420.7
272000379,6788,BLA CMPRS LCP SS NSTR 80,1420.7
272000379,6795,DRL BIT CMP GLND HYBD 4,828.3
272000379,6805,DRL BIT QC 1.1X75,429.36
272000379,6825,BLA CMPRS LCP SS NSTR 95,1420.7
272000379,6857,ANCHOR SUT BIO TENODESIS,1072.5
272000379,6876,DRL BIT BMT CANN SS 2.0,1070.85
272000379,6890,DRL BIT BMT SS 3,468.88
272000379,6924,DRL BIT CMP GLND HYBD 15/64,861.3
272000379,6970,DRL BIT BMT SS 2.5,468.88
272000379,6979,DRL BIT T2 TI 4.2X180,590.7
272000379,6987,DRL BIT BMT CANN SS 2X65,448.8
272000379,7008,STPLR CNTR CUT CRV GRN 40X4.7,2024.33
272000379,7033,SLR AQM BIPLR ANG 30D 6.0,2070
272000379,7136,KIT ACCESS CATHETER,150.06
272000379,7180,DRL BIT ART SS 1.3,632.5
272000379,7258,REAMER HOLLOW COMPLETE 2.0,1397.9
272000379,7259,CANN DUAL LUM BICAV VV 27FR,9400
272000379,7263,SET DELIVER CARDIOPLEGIA AGENT,917.95
272000379,7297,CANN DUAL LUM BICAV VV 31FR,9400
